date,city,hpi
2009-03-31,Ahmedabad,100.0
2009-06-30,Ahmedabad,101.4
2009-09-30,Ahmedabad,104.2
2009-12-31,Ahmedabad,117.3
2010-03-31,Ahmedabad,124.3
2010-06-30,Ahmedabad,117.1
2010-06-30,Ahmedabad,93.21867915399
2010-09-30,Ahmedabad,102.542630483707
2010-09-30,Ahmedabad,128.5
2010-12-31,Ahmedabad,128.8
2010-12-31,Ahmedabad,101.990309768854
2011-03-31,Ahmedabad,128.7
2011-03-31,Ahmedabad,102.248380593449
2011-06-30,Ahmedabad,152.3
2011-06-30,Ahmedabad,121.296550908643
2011-09-30,Ahmedabad,130.432881388632
2011-09-30,Ahmedabad,162.8
2011-12-31,Ahmedabad,171.8
2011-12-31,Ahmedabad,137.117243746749
2012-03-31,Ahmedabad,177.2
2012-03-31,Ahmedabad,141.019725700592
2012-06-30,Ahmedabad,176.6
2012-06-30,Ahmedabad,140.755003847014
2012-09-30,Ahmedabad,146.388427763684
2012-09-30,Ahmedabad,183.4
2012-12-31,Ahmedabad,187.8
2012-12-31,Ahmedabad,150.637833753518
2013-03-31,Ahmedabad,155.005510328137
2013-03-31,Ahmedabad,193.5
2013-06-30,Ahmedabad,161.939423991298
2013-09-30,Ahmedabad,171.696803773157
2013-12-31,Ahmedabad,172.645067916865
2014-03-31,Ahmedabad,169.374224265849
2014-06-30,Ahmedabad,173.0
2014-09-30,Ahmedabad,183.2
2014-12-31,Ahmedabad,187.691520045964
2015-03-31,Ahmedabad,184.970519226678
2015-06-30,Ahmedabad,186.550732674108
2015-09-30,Ahmedabad,196.75328887983
2015-12-31,Ahmedabad,207.34589331261
2016-03-31,Ahmedabad,204.117534194109
2016-06-30,Ahmedabad,207.612852826537
2016-09-30,Ahmedabad,214.112283375913
2016-12-31,Ahmedabad,217.822056292054
2017-03-31,Ahmedabad,235.414937967122
2017-06-30,Ahmedabad,243.099759676881
2017-09-30,Ahmedabad,236.116761539522
2017-12-31,Ahmedabad,256.780083265526
2018-03-31,Ahmedabad,251.996974975752
2018-06-30,Ahmedabad,253.981548203147
